Category;Label;Color;Description
Type;bug;D73A4A;"🐞 A bug that needs to be fixed."
Type;feature;1D76DB;"✨ A new function or feature."
Type;enhancement;84B6EB;"🚀 An improvement to an existing function or feature."
Type;refactor;A371F7;"♻️ Code refactoring without changing functionality."
Type;documentation;0075CA;"📚 Changes or additions to the documentation."
Type;test;7FDD81;"🧪 Add, update, or improve tests."
Type;dependencies;0366D6;"📦 Add, update, or remove dependencies."
Type;security;B60205;"🔒 A security-related change or vulnerability."
Type;performance;FBCA04;"⚡ Performance or resource usage optimization."
Priority;priority: high;D73A4A;"🔴 High priority – should be addressed soon."
Priority;priority: medium;FBCA04;"🟡 Medium priority – important but not urgent."
Priority;priority: low;0E8A16;"🟢 Low priority – can be addressed later."
Status;status: in progress;F9D0C4;"🚧 Work on this issue or PR is currently in progress."
Status;status: blocked;B60205;"🚫 Cannot proceed due to a dependency, blocker, or unresolved issue."
Status;status: needs review;5319E7;"👀 Ready for review or feedback."
Status;status: needs discussion;D4C5F9;"💬 Requires discussion or a decision before implementation."
Area;area: frontend;0E8A16;"Affects the frontend or user interface."
Area;area: backend;0052CC;"Affects backend logic or services."
Area;area: api;006B75;"Affects APIs or external/internal interfaces."
Area;area: database;8B5E3C;"Affects the database, schema, or migrations."
Area;area: ci/cd;4D4D4D;"Affects build, deployment, or CI/CD pipelines."
Other;good first issue;7057FF;"🌱 Suitable for new contributors."
Other;help wanted;008672;"🤝 Help from the community or team is welcome."
Other;technical debt;6A737D;"📋 Technical debt that should be addressed over time."
